New (Shinjitai),Grade,English meaning,Readings
臼,S,mortar,"キュウ、うすkyū, usu"
糾,S,twist,キュウkyū
嗅,S,smell,"キュウ、か-ぐkyū, ka-gu"
窮,S,hard up,"キュウ、きわ-める、きわ-まるkyū, kiwa-meru, kiwa-maru"
巨,S,gigantic,キョkyo
拒,S,repel,"キョ、こば-むkyo, koba-mu"
拠,S,foothold,"キョ、コkyo, ko"
虚,S,void,"キョ、（コ）kyo, (ko)"
距,S,long-distance,キョkyo
御,S,honorable,"ギョ、ゴ、おんgyo, go, on"
凶,S,villain,キョウkyō
叫,S,shout,"キョウ、さけ-ぶkyō, sake-bu"
狂,S,lunatic,"キョウ、くる-う、くる-おしいkyō, kuru-u, kuru-oshii"
享,S,receive,キョウkyō
況,S,condition,キョウkyō
峡,S,gorge,キョウkyō
挟,S,pinch,"キョウ、はさ-む、はさ-まるkyō, hasa-mu, hasa-maru"
狭,S,cramped,"キョウ、せま-い、せば-める、せば-まるkyō, sema-i, seba-meru, seba-maru"
恐,S,fear,"キョウ、おそ-れる、おそ-ろしいkyō, oso-reru, oso-roshii"
恭,S,respect,"キョウ、うやうや-しいkyō, uyauya-shii"
脅,S,threaten,"キョウ、おびや-かす、おど-す、おど-かすkyō, obiya-kasu, odo-su, odo-kasu"
矯,S,rectify,"キョウ、た-めるkyō, ta-meru"
響,S,echo,"キョウ、ひび-くkyō, hibi-ku"
驚,S,wonder,"キョウ、おどろ-く、おどろ-かすkyō, odoro-ku, odoro-kasu"
仰,S,face-up,"ギョウ、（コウ）、あお-ぐ、おお-せgyō, (kō), ao-gu, oo-se"
暁,S,daybreak,"ギョウ、あかつきgyō, akatsuki"
凝,S,congeal,"ギョウ、こ-る、こ-らすgyō, ko-ru, ko-rasu"
巾,S,towel,キンkin
斤,S,axe,キンkin
菌,S,germ,キンkin
琴,S,harp,"キン、ことkin, koto"
僅 [7],S,a wee bit,"キン、わず-かkin, wazu-ka"
緊,S,tense,キンkin
錦,S,brocade,"キン、にしきkin, nishiki"
謹,S,discreet,"キン、つつし-むkin, tsutsushi-mu"
襟,S,collar,"キン、えりkin, eri"
吟,S,versify,ギンgin
駆,S,drive,"ク、か-ける、か-るku, ka-keru, ka-ru"
惧,S,dread,グgu
愚,S,foolish,"グ、おろ-かgu, oro-ka"
偶,S,accidentally,グウgū
遇,S,interview,グウgū
隅,S,corner,"グウ、すみgū, sumi"
串,S,skewer,くしkushi
屈,S,yield,クツkutsu
掘,S,dig,"クツ、ほ-るkutsu, ho-ru"
窟,S,cavern,クツkutsu
繰,S,winding,く-るku-ru
勲,S,meritorious deed,クンkun
薫,S,fragrant,"クン、かお-るkun, kao-ru"
刑,S,punish,ケイkei
茎,S,stalk,"ケイ、くきkei, kuki"
契,S,pledge,"ケイ、ちぎ-るkei, chigi-ru"
恵,S,favor,"ケイ、エ、めぐ-むkei, e, megu-mu"
啓,S,disclose,ケイkei
掲,S,put up (a notice),"ケイ、かか-げるkei, kaka-geru"
渓,S,mountain stream,ケイkei
蛍,S,lightning-bug,"ケイ、ほたるkei, hotaru"
傾,S,lean,"ケイ、かたむ-く、かたむ-けるkei, katamu-ku, katamu-keru"
携,S,portable,"ケイ、たずさ-える、たずさ-わるkei, tazusa-eru, tazusa-waru"
継,S,inherit,"ケイ、つ-ぐkei, tsu-gu"
詣,S,visit a temple,"ケイ、もう-でるkei, mō-deru"
慶,S,jubilation,ケイkei
憬,S,long for,ケイkei
稽,S,consider,ケイkei
憩,S,recess,"ケイ、いこ-い、いこ-うkei, iko-i, iko-u"
鶏,S,chicken,"ケイ、にわとりkei, niwatori"
迎,S,welcome,"ゲイ、むか-えるgei, muka-eru"
鯨,S,whale,"ゲイ、くじらgei, kujira"
隙,S,fissure,"ゲキ、すきgeki, suki"
撃,S,beat,"ゲキ、う-つgeki, u-tsu"
桁,S,beam,けたketa
傑,S,greatness,ケツketsu
肩,S,shoulder,"ケン、かたken, kata"
倹,S,frugal,ケンken
兼,S,concurrently,"ケン、か-ねるken, ka-neru"
剣,S,sabre,"ケン、つるぎken, tsurugi"
拳,S,fist,"ケン、こぶしken, kobushi"
軒,S,flats,"ケン、のきken, noki"
圏,S,sphere,ケンken
堅,S,strict,"ケン、かた-いken, kata-i"
嫌,S,dislike,"ケン、（ゲン）、きら-う、いやken, (gen), kira-u, iya"
献,S,offering,"ケン、（コン）ken, (kon)"
遣,S,dispatch,"ケン、つか-う、つか-わすken, tsuka-u, tsuka-wasu"
賢,S,intelligent,"ケン、かしこ-いken, kashiko-i"
謙,S,self-effacing,ケンken
